City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
175,Portland,US,45.5234,-122.6762,52.38,68,1,1.01,clear sky
176,Todos Santos,MX,23.45,-110.2167,75.0,80,4,3.69,clear sky
177,Bakchar,RU,57.0186,82.0711,27.23,50,100,10.16,overcast clouds
178,Alofi,NU,-19.0595,-169.9187,76.53,66,100,13.65,overcast clouds
179,Rawson,AR,-43.3002,-65.1023,55.49,38,2,29.71,clear sky
180,Bud,US,39.447,-86.1758,53.69,95,100,10.54,overcast clouds
181,Green River,US,41.5286,-109.4662,39.6,56,100,4.79,overcast clouds
182,Vila Velha,BR,-20.3297,-40.2925,73.35,88,75,3.44,broken clouds
183,Banjar,ID,-8.19,114.9675,80.46,88,100,1.16,overcast clouds
184,Broken Hill,AU,-31.95,141.4333,55.81,28,68,6.64,broken clouds
185,Castro,BR,-24.7911,-50.0119,71.04,67,44,9.01,scattered clouds
186,Auki,SB,-8.7676,160.7034,78.17,88,67,4.32,broken clouds
187,Leningradskiy,RU,69.3833,178.4167,-8.1,97,100,6.08,overcast clouds
188,Mar Del Plata,AR,-38.0023,-57.5575,77.02,92,0,15.99,clear sky
189,Cockburn Town,TC,21.4612,-71.1419,84.16,70,40,10.36,scattered clouds
190,Letlhakane,BW,-21.4167,25.5833,88.05,29,73,2.57,broken clouds
191,Leua,SK,48.2156,18.6071,63.5,48,6,14.2,clear sky
192,Beyneu,KZ,45.3167,55.2,55.22,51,12,0.4,few clouds
193,Katiola,CI,8.1333,-5.1,84.83,52,94,2.86,light rain
194,Lata,PT,40.1629,-8.3327,67.93,71,100,6.46,overcast clouds
195,Slavuta,UA,50.3016,26.8651,60.94,45,4,12.95,clear sky
196,Imeni Poliny Osipenko,RU,52.4201,136.4853,25.97,84,44,8.1,scattered clouds
197,Ilulissat,GL,69.2167,-51.1,35.62,51,75,18.41,broken clouds
198,Micheweni,TZ,-4.9667,39.8333,81.52,69,62,11.34,broken clouds
199,Clyde River,CA,70.4692,-68.5914,29.86,99,100,5.75,snow
200,Novyy Urengoy,RU,66.0833,76.6333,13.14,94,99,14.56,overcast clouds
201,Petatlan,MX,17.5167,-101.2667,76.8,82,2,2.75,clear sky
202,Garden City,US,42.3256,-83.331,51.94,95,90,1.01,mist
203,Berlevag,NO,70.8578,29.0864,38.08,82,92,11.34,overcast clouds
204,Saldanha,ZA,-33.0117,17.9442,75.25,74,100,15.32,overcast clouds
205,Nouadhibou,MR,20.931,-17.0347,80.58,54,5,9.22,clear sky
206,Krasnoselkup,RU,65.7,82.4667,2.64,100,82,3.53,broken clouds
207,Nagyhegyes,HU,47.5395,21.3444,62.74,34,6,3.22,clear sky
208,Kahului,US,20.8947,-156.47,72.84,81,1,5.75,clear sky
209,Kalmunai,LK,7.4167,81.8167,80.22,80,60,8.72,broken clouds
210,Bathsheba,BB,13.2167,-59.5167,86.61,66,40,17.27,scattered clouds
211,Alice Springs,AU,-23.7,133.8833,63.95,59,90,8.05,light rain
212,Carballo,ES,43.213,-8.691,64.09,80,100,7.11,overcast clouds
213,Southbridge,US,42.0751,-72.0334,56.59,97,100,1.99,overcast clouds
214,Forio,IT,40.7342,13.8646,69.78,75,45,6.87,scattered clouds
215,Telma,RU,52.6983,103.7097,31.21,88,100,5.64,overcast clouds
216,Jijiga,ET,9.35,42.8,72.39,38,9,17.2,clear sky
217,Panguiranan,PH,12.0699,123.3185,79.54,82,84,12.93,broken clouds
218,Norman Wells,CA,65.282,-126.8329,21.24,93,90,3.44,light snow
219,Luderitz,NA,-26.6481,15.1594,72.68,54,0,14.81,clear sky
220,Dingzhou,CN,38.5131,114.9956,53.71,57,3,1.39,light rain
221,Najran,SA,17.4924,44.1277,79.45,23,0,13.11,clear sky
222,Cocobeach,GA,1.0002,9.5823,84.13,78,100,9.57,light rain
223,Otjiwarongo,NA,-20.4637,16.6477,89.51,15,5,17.6,clear sky
224,Provideniya,RU,64.3833,-173.3,13.39,84,98,11.07,overcast clouds
225,Constantine,DZ,36.365,6.6147,71.38,32,100,6.17,overcast clouds
226,Shalinskoye,RU,55.7228,93.7594,37.74,62,100,12.8,overcast clouds
227,San Marcos,US,33.1434,-117.1661,62.4,91,90,1.99,mist
228,Ibra,OM,22.6906,58.5334,84.61,19,4,10.45,clear sky
229,Olafsvik,IS,64.8945,-23.7142,42.93,86,42,15.57,scattered clouds
230,Talnakh,RU,69.4865,88.3972,18.32,96,100,4.16,light snow
231,Mayna,RU,54.1135,47.6231,47.21,86,68,14.29,broken clouds
232,Bekhtery,UA,46.251,32.2927,55.9,53,0,16.55,clear sky
233,Nanma,CN,36.1817,118.1583,57.43,69,2,2.57,clear sky
234,Wagrowiec,PL,52.8084,17.1996,62.15,44,42,13.67,scattered clouds
235,Yumen,CN,40.2833,97.2,43.29,35,2,8.25,clear sky
236,Celestun,MX,20.8667,-90.4,79.3,53,11,13.8,few clouds
237,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,94.26,37,83,4.54,broken clouds
238,Lensk,RU,60.7253,114.9278,28.44,88,100,5.17,overcast clouds
239,Melipilla,CL,-33.7,-71.2167,82.81,20,8,5.35,clear sky
240,Gobabis,NA,-22.45,18.9667,89.35,11,0,11.72,clear sky
241,San Nicolas,PH,18.1725,120.5953,76.78,79,6,8.97,clear sky
242,Carnarvon,AU,-24.8667,113.6333,69.87,60,0,20.71,clear sky
243,General Roca,AR,-39.0333,-67.5833,65.62,16,100,22.32,overcast clouds
244,Torbay,CA,47.6666,-52.7314,49.75,66,0,5.01,clear sky
245,San Vicente,AR,-26.6167,-54.1333,80.19,53,99,4.5,overcast clouds
246,Chihuahua,MX,28.5,-106.0,58.39,30,0,4.07,clear sky
247,Qaqortoq,GL,60.7167,-46.0333,30.7,77,91,3.8,overcast clouds
248,Pangkalanbuun,ID,-2.6833,111.6167,77.13,89,99,1.5,overcast clouds
249,Yar-Sale,RU,66.8333,70.8333,10.6,89,100,18.14,overcast clouds
250,Muhos,FI,64.808,25.9931,48.7,91,100,8.08,overcast clouds
251,Linxia,CN,35.6003,103.2064,43.02,74,100,2.46,light rain
252,Isangel,VU,-19.55,169.2667,74.75,84,3,4.59,clear sky
253,Mount Isa,AU,-20.7333,139.5,82.17,17,100,12.66,overcast clouds
254,Boa Vista,BR,2.8197,-60.6733,87.78,58,20,10.36,few clouds
255,Oistins,BB,13.0667,-59.5333,86.09,66,40,17.27,scattered clouds
256,Severo-Kurilsk,RU,50.6789,156.125,39.63,82,11,16.75,few clouds
257,Ningxiang,CN,37.34,111.2052,46.26,43,27,2.04,scattered clouds
258,Geraldton,AU,-28.7667,114.6,64.81,72,0,12.66,clear sky
259,Srednekolymsk,RU,67.45,153.6833,-5.06,99,100,3.27,overcast clouds
260,Kisanga,TZ,-7.4362,37.7034,91.4,40,47,8.7,scattered clouds
261,Nuuk,GL,64.1835,-51.7216,41.61,65,75,26.46,broken clouds
262,Kosino,RU,58.4127,51.2782,40.39,98,100,9.46,overcast clouds
263,Niquelandia,BR,-14.4739,-48.4597,94.46,29,9,5.73,clear sky
264,Kashi,CN,39.4547,75.9797,57.22,14,20,6.71,few clouds
265,Kavieng,PG,-2.5744,150.7967,83.53,75,86,12.35,overcast clouds
266,Taoudenni,ML,22.6783,-3.9836,94.82,16,100,7.38,overcast clouds
267,Khatanga,RU,71.9667,102.5,1.22,96,100,2.37,overcast clouds
268,Riyadh,SA,24.6877,46.7219,86.14,26,61,10.11,broken clouds
269,Tyazhinskiy,RU,56.116,88.524,26.29,61,55,11.32,broken clouds
270,Mangan,IN,27.5167,88.5333,63.19,80,75,1.7,broken clouds
271,Barreirinhas,BR,-2.7469,-42.8264,89.53,50,41,11.99,scattered clouds
272,Ambilobe,MG,-13.2,49.05,82.22,62,21,7.78,few clouds
273,Atlantic City,US,39.3643,-74.4229,65.98,71,20,10.36,few clouds
274,Luwuk,ID,-0.9516,122.7875,78.31,88,96,3.0,overcast clouds
275,Atbasar,KZ,51.8,68.3333,38.57,77,100,17.56,overcast clouds
276,Georgetown,MY,5.4112,100.3354,77.9,94,40,0.0,light rain
277,Mazamitla,MX,19.9167,-103.0333,54.43,88,81,2.51,broken clouds
278,Buin,CL,-33.7333,-70.75,79.12,20,6,3.2,clear sky
279,Hami,CN,42.8,93.45,54.52,35,100,5.32,overcast clouds
280,Goderich,CA,43.7501,-81.7165,47.91,87,100,9.22,overcast clouds
281,Skjervoy,NO,70.0311,20.9714,38.98,68,100,12.64,overcast clouds
282,Lagoa,PT,39.05,-27.9833,70.43,89,100,25.57,overcast clouds
283,Hearst,CA,49.6835,-83.6665,43.05,88,99,5.03,overcast clouds
284,George Town,MY,5.4112,100.3354,77.9,94,40,2.3,light rain
285,Te Anau,NZ,-45.4167,167.7167,46.38,87,50,7.54,scattered clouds
286,Udachnyy,RU,66.4167,112.4,17.69,91,100,17.38,light snow
287,Qandala,SO,11.472,49.8728,82.56,71,31,13.44,moderate rain
288,Iisalmi,FI,63.5592,27.1907,46.42,91,100,7.52,overcast clouds
289,Bitung,ID,1.4451,125.1824,76.05,83,100,4.25,overcast clouds
290,Katsuura,JP,35.1333,140.3,62.11,60,5,4.59,clear sky
291,Preobrazheniye,RU,42.9019,133.9064,51.91,86,100,7.05,overcast clouds
292,Warwick,US,41.7001,-71.4162,59.92,97,90,13.8,light intensity drizzle
293,Tevaitoa,PF,-16.7833,-151.5,77.9,70,21,17.45,few clouds
294,Sao Miguel Do Tapuio,BR,-5.5036,-41.3233,92.14,34,82,2.48,broken clouds
295,Pitimbu,BR,-7.4706,-34.8086,72.19,59,7,11.79,clear sky
296,Pyapon,MM,16.2833,95.6833,78.39,86,100,2.75,overcast clouds
297,Faya,SA,18.3851,42.4509,73.51,24,85,5.68,overcast clouds
298,San Juan,AR,-31.5375,-68.5364,83.53,33,0,25.79,clear sky
299,Jacareacanga,BR,-6.2222,-57.7528,95.02,42,30,2.44,scattered clouds
300,Payson,US,40.0444,-111.7321,50.4,67,75,4.0,broken clouds
301,Metro,ID,-5.1131,105.3067,78.12,87,74,4.12,broken clouds
302,Kanigoro,ID,-8.13,112.219,75.92,92,100,2.98,overcast clouds
303,Zamboanguita,PH,9.1025,123.1996,80.47,83,100,9.69,overcast clouds
304,Contamana,PE,-7.3333,-75.0167,88.09,53,32,1.72,scattered clouds
